School,Gender,Age,Residence,MomEdu,DadEdu,MomJob,DadJob,TravelTime,StudyTime,PastFails,SchoolSup,FamilySup,PaidSup,Activities,Internet,Romantic,FamilyRel,FreeTime,GoingOut,Health,Absences,T1,T2,T3
SchoolA,Female,18,Urban,4,4,AtHome,Teacher,2,2,0,Yes,No,No,No,No,No,4,3,4,3,6,5,6,6
SchoolA,Female,17,Urban,1,1,AtHome,Other,1,2,0,No,Yes,No,No,Yes,No,5,3,3,3,4,5,5,6
SchoolA,Female,15,Urban,1,1,AtHome,Other,1,2,3,Yes,No,Yes,No,Yes,No,4,3,2,3,10,7,8,10
SchoolA,Female,15,Urban,4,2,HealthCare,CivilService,1,3,0,No,Yes,Yes,Yes,Yes,Yes,3,2,2,5,2,15,14,15
SchoolA,Female,16,Urban,3,3,Other,Other,1,2,0,No,Yes,Yes,No,No,No,4,3,2,5,4,6,10,10
SchoolA,Male,16,Urban,4,3,CivilService,Other,1,2,0,No,Yes,Yes,Yes,Yes,No,5,4,2,5,10,15,15,15
SchoolA,Male,16,Urban,2,2,Other,Other,1,2,0,No,No,No,No,Yes,No,4,4,4,3,0,12,12,11
SchoolA,Female,17,Urban,4,4,Other,Teacher,2,2,0,Yes,Yes,No,No,No,No,4,1,4,1,6,6,5,6
SchoolA,Male,15,Urban,3,2,CivilService,Other,1,2,0,No,Yes,Yes,No,Yes,No,4,2,2,1,0,16,18,19
SchoolA,Male,15,Urban,3,4,Other,Other,1,2,0,No,Yes,Yes,Yes,Yes,No,5,5,1,5,0,14,15,15
SchoolA,Female,15,Urban,4,4,Teacher,HealthCare,1,2,0,No,Yes,Yes,No,Yes,No,3,3,3,2,0,10,8,9
SchoolA,Female,15,Urban,2,1,CivilService,Other,3,3,0,No,Yes,No,Yes,Yes,No,5,2,2,4,4,10,12,12
SchoolA,Male,15,Urban,4,4,HealthCare,CivilService,1,1,0,No,Yes,Yes,Yes,Yes,No,4,3,3,5,2,14,14,14
SchoolA,Male,15,Urban,4,3,Teacher,Other,2,2,0,No,Yes,Yes,No,Yes,No,5,4,3,3,2,10,10,11
SchoolA,Male,15,Urban,2,2,Other,Other,1,3,0,No,Yes,No,No,Yes,Yes,4,5,2,3,0,14,16,16
SchoolA,Female,16,Urban,4,4,HealthCare,Other,1,1,0,No,Yes,No,No,Yes,No,4,4,4,2,4,14,14,14
SchoolA,Female,16,Urban,4,4,CivilService,CivilService,1,3,0,No,Yes,Yes,Yes,Yes,No,3,2,3,2,6,13,14,14
SchoolA,Female,16,Urban,3,3,Other,Other,3,2,0,Yes,Yes,No,Yes,No,No,5,3,2,4,4,8,10,10
SchoolA,Male,17,Urban,3,2,CivilService,CivilService,1,1,3,No,Yes,No,Yes,Yes,No,5,5,5,5,16,6,5,5
SchoolA,Male,16,Urban,4,3,HealthCare,Other,1,1,0,No,No,Yes,Yes,Yes,No,3,1,3,5,4,8,10,10
SchoolA,Male,15,Urban,4,3,Teacher,Other,1,2,0,No,No,No,No,Yes,No,4,4,1,1,0,13,14,15
SchoolA,Male,15,Urban,4,4,HealthCare,HealthCare,1,1,0,No,Yes,Yes,No,Yes,No,5,4,2,5,0,12,15,15
SchoolA,Male,16,Urban,4,2,Teacher,Other,1,2,0,No,No,No,Yes,Yes,No,4,5,1,5,2,15,15,16
SchoolA,Male,16,Urban,2,2,Other,Other,2,2,0,No,Yes,No,Yes,Yes,No,5,4,4,5,0,13,13,12
SchoolA,Female,15,Rural,2,4,CivilService,HealthCare,1,3,0,Yes,Yes,Yes,Yes,Yes,No,4,3,2,5,2,10,9,8
SchoolA,Female,16,Urban,2,2,CivilService,CivilService,1,1,2,No,Yes,Yes,No,Yes,No,1,2,2,5,14,6,9,8
SchoolA,Male,15,Urban,2,2,Other,Other,1,1,0,No,Yes,Yes,No,Yes,No,4,2,2,5,2,12,12,11
SchoolA,Male,15,Urban,4,2,HealthCare,CivilService,1,1,0,No,No,Yes,No,Yes,No,2,2,4,1,4,15,16,15
SchoolA,Male,16,Urban,3,4,CivilService,Other,1,2,0,Yes,Yes,No,Yes,Yes,No,5,3,3,5,4,11,11,11
SchoolA,Male,16,Urban,4,4,Teacher,Teacher,1,2,0,No,Yes,Yes,Yes,Yes,Yes,4,4,5,5,16,10,12,11
SchoolA,Male,15,Urban,4,4,HealthCare,CivilService,1,2,0,No,Yes,Yes,No,Yes,No,5,4,2,5,0,9,11,12
SchoolA,Male,15,Urban,4,4,CivilService,CivilService,2,2,0,No,Yes,No,Yes,Yes,No,4,3,1,5,0,17,16,17
SchoolA,Male,15,Rural,4,3,Teacher,AtHome,1,2,0,No,Yes,No,Yes,Yes,Yes,4,5,2,5,0,17,16,16
SchoolA,Male,15,Urban,3,3,Other,Other,1,2,0,No,No,No,Yes,Yes,No,5,3,2,2,0,8,10,12
SchoolA,Male,16,Urban,3,2,Other,Other,1,1,0,No,Yes,Yes,No,Yes,No,5,4,3,5,0,12,14,15
SchoolA,Female,15,Urban,2,3,Other,Other,2,1,0,No,Yes,No,Yes,No,No,3,5,1,5,0,8,7,6
SchoolA,Male,15,Urban,4,3,Teacher,CivilService,1,3,0,No,Yes,No,Yes,Yes,No,5,4,3,4,2,15,16,18
SchoolA,Male,16,Rural,4,4,Other,Teacher,2,3,0,No,Yes,No,Yes,Yes,Yes,2,4,3,5,7,15,16,15
SchoolA,Female,15,Rural,3,4,CivilService,HealthCare,1,3,0,Yes,Yes,Yes,Yes,Yes,No,4,3,2,5,2,12,12,11
SchoolA,Female,15,Rural,2,2,AtHome,Other,1,1,0,Yes,Yes,Yes,Yes,No,No,4,3,1,2,8,14,13,13
SchoolA,Female,16,Urban,2,2,Other,Other,2,2,1,No,Yes,No,Yes,Yes,Yes,3,3,3,3,25,7,10,11
SchoolA,Male,15,Urban,4,4,Teacher,Other,1,1,0,No,Yes,No,No,Yes,Yes,5,4,3,5,8,12,12,12
SchoolA,Male,15,Urban,4,4,CivilService,Teacher,1,2,0,No,Yes,No,Yes,Yes,No,4,3,3,5,2,19,18,18
SchoolA,Male,15,Urban,2,2,CivilService,CivilService,1,1,0,Yes,Yes,No,No,Yes,No,5,4,1,1,0,8,8,11
SchoolA,Female,16,Urban,2,2,Other,AtHome,2,2,1,Yes,No,No,Yes,Yes,No,4,3,3,5,14,10,10,9
SchoolA,Female,15,Urban,4,3,Other,Other,1,2,0,Yes,Yes,Yes,Yes,Yes,Yes,5,2,2,5,8,8,8,6
